INPUT: 21.25330 -86.97340   1   1 EvergreenBroadleafForest sza 40.000 vza 0.000 raa 0.000

Day_nb 620-670 841-876  459-479  545-565  1230-1250 1628-1652 2105-2155 
  001 0.037700 0.369700 0.019700 0.058600 0.404000 0.186800 0.077800
  009 0.036900 0.372400 0.019100 0.056800 0.411800 0.176300 0.076200
  017 0.035600 0.370300 0.017600 0.054700 0.406100 0.187500 0.075100
  025 0.028700 0.383100 0.010600 0.050000 0.357400 0.192700 0.062700
  033 0.027600 0.379200 0.010100 0.048600 0.407300 0.191600 0.062700
  041 0.027700 0.376000 0.010500 0.048400 0.390700 0.187800 0.063600
  049 0.027800 0.370400 0.011200 0.047900 0.385100 0.182800 0.066200
  057 0.027700 0.356200 0.011400 0.046300 0.378200 0.183900 0.067500
  065 0.028800 0.353600 0.010600 0.046700 0.354400 0.198300 0.075300
  073 0.030300 0.357000 0.009700 0.048900 0.362600 0.199800 0.079100
  081 0.031900 0.351400 0.011600 0.051400 0.362400 0.198500 0.080500
  089 0.032100 0.363700 0.011400 0.055700 0.370200 0.199300 0.082000
  097 0.034800 0.368900 0.017400 0.062000 0.376700 0.190800 0.079400
  105 0.041800 0.342800 0.020400 0.062200 0.358500 0.195000 0.091500
  113 0.050700 0.310900 0.024500 0.064300 0.342900 0.201300 0.105600
  121 0.064900 0.250900 0.034000 0.065200 0.306600 0.217000 0.136100
  129 0.064200 0.252100 0.033500 0.064900 0.306000 0.219400 0.135600
  137 0.063500 0.253300 0.033000 0.064600 0.305400 0.221800 0.135100
  145 0.062800 0.254500 0.032500 0.064300 0.304800 0.224200 0.134700
  153 0.062100 0.255700 0.032000 0.064000 0.304200 0.226700 0.134300
  161 0.061400 0.256900 0.031500 0.063800 0.303600 0.229200 0.133900
  169 0.060700 0.258200 0.031100 0.063600 0.303000 0.231700 0.133500
  177 0.060000 0.259500 0.030700 0.063400 0.302500 0.234200 0.133100
  185 0.059300 0.260800 0.030300 0.063200 0.302000 0.236700 0.132700
  193 0.058700 0.262100 0.029900 0.063000 0.301500 0.239200 0.132300
  201 0.055700 0.257400 0.027700 0.060600 0.297500 0.233500 0.126700
  209 0.052700 0.252700 0.025500 0.058300 0.293500 0.227800 0.121100
  217 0.049700 0.248000 0.023300 0.056000 0.289500 0.222100 0.115500
  225 0.046700 0.243400 0.021100 0.053700 0.285500 0.216500 0.109900
  233 0.043800 0.238800 0.019000 0.051400 0.281500 0.210900 0.104300
  241 0.040900 0.234200 0.016900 0.049100 0.277500 0.205300 0.098700
  249 0.040700 0.247500 0.022000 0.054500 0.318200 0.200900 0.093400
  257 0.040600 0.260800 0.027100 0.060000 0.358900 0.196500 0.088200
  265 0.037900 0.276600 0.025800 0.060500 0.361800 0.193100 0.083200
  273 0.035700 0.298600 0.028000 0.064000 0.376700 0.187300 0.073500
  281 0.033500 0.310900 0.022600 0.060200 0.359000 0.184400 0.071500
  289 0.031600 0.359400 0.013300 0.055900 0.340000 0.185300 0.072100
  297 0.031800 0.360900 0.013600 0.055100 0.343100 0.184700 0.073700
  305 0.030900 0.349600 0.013200 0.052600 0.329700 0.177800 0.070600
  313 0.031500 0.354300 0.013700 0.052600 0.331700 0.177500 0.071600
  321 0.033300 0.336800 0.015900 0.052400 0.318400 0.174000 0.074100
  329 0.032100 0.339400 0.014800 0.051700 0.324400 0.180600 0.073600
  337 0.030900 0.342000 0.013800 0.051000 0.330400 0.187200 0.073100
  345 0.029700 0.344600 0.012800 0.050400 0.336500 0.193900 0.072600
  353 0.028500 0.347300 0.011800 0.049800 0.342600 0.200600 0.072200
  361 0.029000 0.347500 0.013600 0.050200 0.342000 0.186200 0.069900
