INPUT: 21.25670 -87.38750   1   1 EvergreenBroadleafForest sza 40.000 vza 0.000 raa 0.000

Day_nb 620-670 841-876  459-479  545-565  1230-1250 1628-1652 2105-2155 
  001 0.025500 0.245400 0.014000 0.039600 0.257100 0.140100 0.051200
  009 0.028900 0.259500 0.016300 0.041100 0.277100 0.147200 0.056500
  017 0.032300 0.273600 0.018700 0.042600 0.297100 0.154300 0.061900
  025 0.022900 0.292000 0.010800 0.037400 0.304200 0.161800 0.059700
  033 0.024300 0.287400 0.011500 0.037900 0.303600 0.162900 0.061200
  041 0.026300 0.277900 0.012000 0.038700 0.301500 0.167100 0.061700
  049 0.027300 0.272800 0.012300 0.038800 0.300500 0.168700 0.064200
  057 0.029600 0.256300 0.012800 0.038500 0.288400 0.167900 0.064800
  065 0.031000 0.253600 0.012500 0.038600 0.296500 0.174200 0.070800
  073 0.031400 0.248400 0.013100 0.038400 0.289200 0.174200 0.072600
  081 0.033200 0.245100 0.013800 0.039600 0.288600 0.178600 0.075300
  089 0.032600 0.243200 0.011800 0.038300 0.296400 0.182500 0.081000
  097 0.034800 0.266500 0.015400 0.047800 0.319100 0.192400 0.083400
  105 0.036100 0.279900 0.013700 0.050100 0.342000 0.202600 0.093000
  113 0.035200 0.277200 0.014600 0.051300 0.341500 0.197700 0.086400
  121 0.043100 0.271800 0.020400 0.056400 0.323400 0.192100 0.087300
  129 0.038800 0.257600 0.017000 0.049400 0.323100 0.175500 0.077600
  137 0.038000 0.247000 0.018400 0.050000 0.323300 0.164900 0.069600
  145 0.037700 0.255800 0.017900 0.048900 0.323200 0.157300 0.069200
  153 0.026100 0.259900 0.012200 0.043600 0.345200 0.154600 0.060200
  161 0.026700 0.263400 0.012700 0.043400 0.342500 0.151900 0.058700
  169 0.027300 0.266900 0.013200 0.043300 0.339800 0.149200 0.057200
  177 0.027900 0.270500 0.013700 0.043200 0.337100 0.146500 0.055700
  185 0.028500 0.274100 0.014200 0.043100 0.334400 0.143900 0.054200
  193 0.029100 0.277700 0.014800 0.043000 0.331700 0.141300 0.052800
  201 0.029700 0.281300 0.015400 0.042900 0.329000 0.138700 0.051400
  209 0.026900 0.286200 0.013500 0.040600 0.317600 0.144400 0.051500
  217 0.027100 0.307300 0.014400 0.043200 0.350800 0.154800 0.053900
  225 0.022300 0.307900 0.009700 0.039700 0.309200 0.153000 0.049100
  233 0.028900 0.332000 0.014900 0.049300 0.324300 0.168200 0.064500
  241 0.031800 0.337500 0.014700 0.051100 0.356800 0.196700 0.093500
  249 0.028700 0.320800 0.012300 0.047100 0.339600 0.181200 0.079900
  257 0.029200 0.326600 0.012900 0.047500 0.339900 0.186600 0.087900
  265 0.022900 0.312000 0.007400 0.039000 0.327300 0.187000 0.081700
  273 0.024300 0.309700 0.011200 0.042200 0.304600 0.162500 0.058400
  281 0.023400 0.289400 0.011200 0.039900 0.283900 0.165300 0.051100
  289 0.022600 0.269200 0.011300 0.037600 0.263300 0.168200 0.043800
  297 0.023500 0.242400 0.011900 0.036100 0.247300 0.146000 0.043200
  305 0.019400 0.237200 0.007300 0.031900 0.248200 0.143400 0.042800
  313 0.019600 0.256400 0.007800 0.033100 0.263900 0.132200 0.043700
  321 0.019300 0.244100 0.007600 0.032100 0.253800 0.128800 0.043100
  329 0.020200 0.244000 0.008600 0.032400 0.258000 0.136600 0.046200
  337 0.021100 0.243900 0.009600 0.032700 0.262300 0.144500 0.049300
  345 0.022000 0.243800 0.010700 0.033100 0.266600 0.152400 0.052400
  353 0.021600 0.253300 0.010200 0.033100 0.283300 0.161200 0.060300
  361 0.021600 0.253300 0.010200 0.033100 0.283300 0.161200 0.060300
